x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009
0.001213157,-2.41E-05,-0.000249023,-6.03E-07,0.000415251,0.000140951,0.001254287,0.000125668,-0.002379767,3.88E-05,-0.000405374,1.39E-06,0.000583121,9.66E-05,0.000503719,5.56E-05,0.000972137,0.000116174,0.001254287,0.000205249
0.001263157,-2.59E-05,-0.000199023,-1.32E-06,0.000465251,0.000168989,0.001304287,0.000130622,-0.002329767,3.72E-05,-0.000355374,6.21E-08,0.000633121,0.000111028,0.000553719,6.69E-05,0.001022137,0.000126926,0.001304287,0.000210742
0.001313157,-2.78E-05,-0.000149023,-2.31E-06,0.000515251,0.000198602,0.001354287,0.000136501,-0.002279767,3.55E-05,-0.000305374,-8.85E-07,0.000683121,0.000127053,0.000603719,7.91E-05,0.001072137,0.000132066,0.001354287,0.000215779
0.001363157,-3.04E-05,-9.90E-05,-1.99E-06,0.000565251,0.000231327,0.001404287,0.000140628,-0.002229767,3.60E-05,-0.000255374,-4.89E-07,0.000733121,0.000143541,0.000653719,9.06E-05,0.001122137,0.000132425,0.001404287,0.000221217
0.001413157,-3.09E-05,-4.90E-05,5.37E-07,0.000615251,0.000264927,0.001454287,0.000146343,-0.002179767,3.46E-05,-0.000205374,-1.09E-06,0.000783121,0.000161466,0.000703719,0.000102611,0.001172137,0.000140422,0.001454287,0.00022745
0.001463157,-3.09E-05,9.77E-07,1.20E-06,0.000665251,0.000298828,0.001504287,0.000151727,-0.002129767,3.35E-05,-0.000155374,-1.69E-06,0.000833121,0.000178606,0.000753719,0.00011491,0.001222137,0.00015048,0.001504287,0.000231806
0.001513157,-3.48E-05,5.10E-05,2.34E-06,0.000715251,0.000333686,0.001554287,0.000156813,-0.002079767,3.27E-05,-0.000105374,5.49E-07,0.000883121,0.000195193,0.000803719,0.000127134,0.001272137,0.000148064,0.001554287,0.000235579
0.001563157,-3.54E-05,0.000100977,4.00E-06,0.000765251,0.000367848,0.001604287,0.000161009,-0.002029767,3.14E-05,-5.54E-05,-2.62E-07,0.000933121,0.000210859,0.000853719,0.000140241,0.001322137,0.000147661,0.001604287,0.000239324
0.001613157,-3.58E-05,0.000150977,4.78E-06,0.000815251,0.000402421,0.001654287,0.000166332,-0.001979767,3.16E-05,-5.37E-06,-2.28E-06,0.000983121,0.000225545,0.000903719,0.000150911,0.001372137,0.00014553,0.001654287,0.000242906
0.001663157,-3.76E-05,0.000200977,6.73E-06,0.000865251,0.000436095,0.001704287,0.000172243,-0.001929767,3.21E-05,4.46E-05,-1.83E-06,0.001033121,0.000239531,0.000953719,0.0001621,0.001422137,0.000150602,0.001704287,0.000246165
0.001713157,-4.00E-05,0.000250977,8.65E-06,0.000915251,0.000465607,0.001754287,0.000176875,-0.001879767,3.10E-05,9.46E-05,-9.74E-07,0.001083121,0.000253318,0.001003719,0.000171817,0.001472137,0.000158384,0.001754287,0.000248515
0.001763157,-4.15E-05,0.000300977,1.05E-05,0.000965251,0.000493619,0.001804287,0.000180446,-0.001829767,3.10E-05,0.000144626,-4.13E-07,0.001133121,0.000266845,0.001053719,0.000182049,0.001522137,0.000161537,0.001804287,0.000250965
0.001813157,-4.26E-05,0.000350977,1.35E-05,0.001015251,0.000519843,0.001854287,0.000182739,-0.001779767,2.86E-05,0.000194626,-1.35E-06,0.001183121,0.000279551,0.001103719,0.000190478,0.001572137,0.000161019,0.001854287,0.000252523
0.001863157,-4.49E-05,0.000400977,1.53E-05,0.001065251,0.000543638,0.001904287,0.000185411,-0.001729767,2.73E-05,0.000244626,-2.54E-07,0.001233121,0.000290304,0.001153719,0.000200764,0.001622137,0.00016116,0.001904287,0.000254546
0.001913157,-4.66E-05,0.000450977,1.72E-05,0.001115251,0.000564585,0.001954287,0.000188814,-0.001679767,2.53E-05,0.000294626,-6.91E-07,0.001283121,0.00030155,0.001203719,0.000209247,0.001672137,0.00016204,0.001954287,0.00025627
0.001963157,-4.80E-05,0.000500977,1.87E-05,0.001165251,0.000583959,0.002004287,0.000193993,-0.001629767,2.47E-05,0.000344626,-7.64E-07,0.001333121,0.000311554,0.001253719,0.000217817,0.001722137,0.00016211,0.002004287,0.000259202
0.002013157,-4.85E-05,0.000550977,2.13E-05,0.001215251,0.000603208,0.002054287,0.000198119,-0.001579767,2.32E-05,0.000394626,-1.75E-06,0.001383121,0.000321595,0.001303719,0.000227026,0.001772137,0.000159302,0.002054287,0.000260973
0.002063157,-4.84E-05,0.000600977,2.25E-05,0.001265251,0.000618,0.002104287,0.000199797,-0.001529767,2.24E-05,0.000444626,-1.01E-06,0.001433121,0.000330399,0.001353719,0.000235478,0.001822137,0.000159383,0.002104287,0.000262491
0.002113157,-5.06E-05,0.000650977,2.38E-05,0.001315251,0.000631457,0.002154287,0.000201724,-0.001479767,2.26E-05,0.000494626,-3.03E-07,0.001483121,0.000337683,0.001403719,0.00024154,0.001872137,0.000153687,0.002154287,0.000262442
0.002163157,-5.36E-05,0.000700977,2.61E-05,0.001365251,0.000642614,0.002204287,0.000203679,-0.001429767,2.10E-05,0.000544626,7.81E-07,0.001533121,0.000345953,0.001453719,0.000247637,0.001922137,0.000154213,0.002204287,0.000263458
0.002213157,-5.49E-05,0.000750977,2.79E-05,0.001415251,0.000654004,0.002254287,0.000207352,-0.001379767,1.95E-05,0.000594626,9.81E-07,0.001583121,0.000353357,0.001503719,0.000253737,0.001972137,0.000151164,0.002254287,0.000265263
0.002263157,-5.65E-05,0.000800977,3.05E-05,0.001465251,0.000665611,0.002304287,0.000210391,-0.001329767,1.85E-05,0.000644626,1.38E-07,0.001633121,0.0003607,0.001553719,0.000258592,0.002022137,0.000156255,0.002304287,0.00026684
0.002313157,-5.73E-05,0.000850977,3.28E-05,0.001515251,0.000674214,0.002354287,0.00021178,-0.001279767,1.79E-05,0.000694626,-1.45E-07,0.001683121,0.000368073,0.001603719,0.000263769,0.002072137,0.000158844,0.002354287,0.000267033
0.002363157,-5.79E-05,0.000900977,3.46E-05,0.001565251,0.000680424,0.002404287,0.000212704,-0.001229767,1.50E-05,0.000744626,9.57E-07,0.001733121,0.000373628,0.001653719,0.00026889,0.002122137,0.000163447,0.002404287,0.000266963
0.002413157,-6.05E-05,0.000950977,3.63E-05,0.001615251,0.000687227,0.002454287,0.000214579,-0.001179767,1.49E-05,0.000794626,-3.86E-07,0.001783121,0.000379023,0.001703719,0.000273348,0.002172137,0.000155972,0.002454287,0.000267926
0.002463157,-6.22E-05,0.001000977,3.81E-05,0.001665251,0.000692753,0.002504287,0.000215042,-0.001129767,1.54E-05,0.000844626,3.70E-07,0.001833121,0.000384478,0.001753719,0.000276474,0.002222137,0.000157057,0.002504287,0.000268692
0.002513157,-6.26E-05,0.001050977,3.85E-05,0.001715251,0.000696572,0.002554287,0.000216156,-0.001079767,1.62E-05,0.000894626,1.28E-06,0.001883121,0.000386593,0.001803719,0.000278819,0.002272137,0.000160403,0.002554287,0.000268618
0.002563157,-6.45E-05,0.001100977,3.95E-05,0.001765251,0.000700195,0.002604287,0.000217813,-0.001029767,1.46E-05,0.000944626,1.63E-06,0.001933121,0.000390599,0.001853719,0.00028191,0.002322137,0.000167275,0.002604287,0.000270468
0.002613157,-6.55E-05,0.001150977,4.11E-05,0.001815251,0.000703066,0.002654287,0.000220551,-0.000979767,1.41E-05,0.000994626,1.95E-06,0.001983121,0.000395049,0.001903719,0.000286151,0.002372137,0.000163742,0.002654287,0.000270422
0.002663157,-6.73E-05,0.001200977,4.25E-05,0.001865251,0.00070484,0.002704287,0.000221953,-0.000929767,1.19E-05,0.001044626,2.95E-06,0.002033121,0.000399077,0.001953719,0.000290238,0.002422137,0.000158306,0.002704287,0.000271101
0.002713157,-6.78E-05,0.001250977,4.48E-05,0.001915251,0.000706954,0.002754287,0.000223131,-0.000879767,1.05E-05,0.001094626,3.77E-06,0.002083121,0.000403297,0.002003719,0.000293099,0.002472137,0.000155206,0.002754287,0.000272104
0.002763157,-6.83E-05,0.001300977,4.60E-05,0.001965251,0.000708404,0.002804287,0.000223252,-0.000829767,1.11E-05,0.001144626,2.77E-06,0.002133121,0.000405406,0.002053719,0.000295862,0.002522137,0.000151859,0.002804287,0.000273195
0.002813157,-7.01E-05,0.001350977,4.73E-05,0.002015251,0.000708083,0.002854287,0.000225181,-0.000779767,1.07E-05,0.001194626,2.29E-06,0.002183121,0.000407814,0.002103719,0.000297965,0.002572137,0.000143758,0.002854287,0.000273031
